Date,Product,Price,Sales
2023-01-24,Product_3,$380.79,63
2023-10-15,Product_4,$951.21,96
2023-02-23,Product_4,$734.67,52
2023-11-21,Product_3,$602.67,96
2023-08-06,Product_3,$164.46,4
2023-12-17,Product_3,$164.43,94
2023-06-17,Product_4,$67.50,23
2023-04-05,Product_7,$867.51,15
2023-04-11,Product_4,$605.10,43
2023-02-14,Product_9,$710.99,29
2023-04-27,Product_1,$30.38,36
2023-08-04,Product_8,$970.21,13
2023-11-04,Product_7,$834.12,32
2023-09-30,Product_2,$220.22,71
2023-06-04,Product_8,$190.01,59
2023-06-14,Product_1,$191.57,86
2023-12-19,Product_9,$311.20,28
2023-01-31,Product_9,$529.51,66
2023-08-28,Product_2,$437.63,42
2023-11-23,Product_7,$298.32,45
2023-01-18,Product_3,$615.73,62
2023-09-24,Product_7,$148.10,57
2023-06-06,Product_9,$299.22,6
2023-09-26,Product_4,$372.70,28
2023-09-14,Product_1,$461.51,28
2023-03-29,Product_2,$787.32,44
2023-04-08,Product_1,$207.68,84
2023-06-16,Product_5,$519.09,30
2023-04-17,Product_5,$596.49,62
2023-10-10,Product_7,$55.99,75
2023-08-08,Product_9,$611.47,92
2023-09-20,Product_9,$178.82,89
2023-02-09,Product_3,$74.40,62
2023-06-11,Product_3,$949.40,97
2023-04-24,Product_3,$965.98,1
2023-03-28,Product_4,$810.31,27
2023-02-28,Product_8,$311.57,62
2023-12-31,Product_6,$106.70,77
2023-02-07,Product_8,$687.39,3
2023-06-19,Product_1,$445.75,70
2023-03-23,Product_8,$130.82,72
2023-05-15,Product_4,$500.23,27
2023-10-02,Product_1,$44.04,9
2023-08-05,Product_8,$910.23,62
2023-01-17,Product_4,$266.19,37
2023-06-21,Product_6,$665.90,97
2023-10-17,Product_8,$318.59,51
2023-04-02,Product_4,$524.87,44
2023-07-17,Product_3,$551.24,24
2023-03-12,Product_9,$193.01,79
2023-10-06,Product_3,$969.89,59
2023-04-30,Product_9,$777.38,32
2023-11-05,Product_2,$940.10,96
2023-09-25,Product_2,$895.88,88
2023-01-14,Product_2,$601.92,52
2023-07-31,Product_6,$922.66,62
2023-09-22,Product_3,$97.61,58
2023-03-06,Product_9,$204.02,52
2023-08-09,Product_4,$54.78,12
2023-10-15,Product_1,$332.08,39
2023-11-30,Product_4,$394.79,2
2023-09-24,Product_1,$278.64,3
2023-09-03,Product_5,$830.45,56
2023-02-23,Product_4,$363.19,81
2023-06-10,Product_8,$288.13,59
2023-01-24,Product_8,$547.27,2
2023-10-10,Product_7,$149.51,2
2023-06-09,Product_3,$804.18,92
2023-08-10,Product_1,$83.81,54
2023-11-28,Product_1,$987.02,87
2023-02-06,Product_3,$774.52,96
2023-07-07,Product_6,$206.73,97
2023-02-26,Product_7,$15.47,1
2023-01-28,Product_6,$817.31,19
2023-02-08,Product_6,$709.79,2
2023-12-14,Product_6,$731.72,53
2023-08-01,Product_3,$773.56,44
2023-03-05,Product_6,$83.30,90
2023-04-29,Product_8,$364.88,32
2023-04-06,Product_2,$124.71,70
2023-01-19,Product_5,$864.47,32
2023-11-22,Product_1,$627.07,68
2023-03-01,Product_1,$337.59,55
2023-12-18,Product_5,$72.92,75
2023-07-08,Product_3,$317.87,56
2023-03-02,Product_4,$331.93,17
2023-12-02,Product_3,$732.31,38
2023-09-03,Product_1,$641.18,24
2023-01-31,Product_1,$888.34,69
2023-12-12,Product_5,$477.49,98
2023-03-27,Product_6,$128.40,70
2023-11-09,Product_3,$716.11,86
2023-01-19,Product_9,$763.18,11
2023-01-23,Product_5,$565.66,16
2023-12-17,Product_8,$773.26,97
2023-02-14,Product_1,$498.86,73
2023-03-04,Product_5,$527.51,59
2023-01-19,Product_3,$433.27,70
2023-04-14,Product_1,$35.16,80
2023-02-13,Product_4,$116.81,93
